metodo,eje,grupo,cobertura,se_cluster,desvio_pp,ancho_medio,pct_infinito,n,n_dias
"ACI (g=0.02), referencia",region,Antofagasta,92.42,0.49,2.42,853.1,0.0,26926,638
"ACI (g=0.02), referencia",region,Arica y Parinacota,94.51,0.9,4.51,937.6,0.0,638,638
"ACI (g=0.02), referencia",region,Atacama,87.91,0.59,-2.09,700.0,0.0,15755,638
"ACI (g=0.02), referencia",region,Biobío,85.34,0.82,-4.66,122.0,0.0,6380,638
"ACI (g=0.02), referencia",region,Coquimbo,90.76,0.68,0.76,285.7,0.0,9192,638
"ACI (g=0.02), referencia",region,La Araucanía,87.81,0.91,-2.19,255.0,0.0,5104,638
"ACI (g=0.02), referencia",region,Libertador General Bernardo O'Higgins,91.5,0.86,1.5,62.8,0.0,2356,638
"ACI (g=0.02), referencia",region,Los Lagos,91.69,0.87,1.69,169.2,0.0,2552,638
"ACI (g=0.02), referencia",region,Maule,91.38,0.92,1.38,271.6,0.0,1178,638
"ACI (g=0.02), referencia",region,Metropolitana de Santiago,92.66,0.63,2.66,248.1,0.0,2484,638
"ACI (g=0.02), referencia",region,Tarapacá,89.26,0.68,-0.74,373.3,0.0,3852,638
"ACI (g=0.02), referencia",region,Valparaíso,93.52,0.71,3.52,435.8,0.0,1451,638
"ACI (g=0.02), referencia",evento,alto (decil sup.),88.32,0.75,-1.68,708.3,0.0,30831,254
"ACI (g=0.02), referencia",evento,resto,91.52,0.51,1.52,447.5,0.0,47037,384
"Transporte+ACI (g=0.05), referencia",tecnologia,Eólica,90.28,0.5,0.28,397.8,6.02,33093,638
"Transporte+ACI (g=0.05), referencia",tecnologia,Solar,89.92,0.48,-0.08,738.2,6.13,44775,638
"Transporte+ACI (g=0.05), referencia",tamano de central,pequena,91.41,0.41,1.41,220.4,6.15,25348,638
"Transporte+ACI (g=0.05), referencia",tamano de central,mediana,90.55,0.46,0.55,586.0,6.02,25273,638
"Transporte+ACI (g=0.05), referencia",tamano de central,grande,88.36,0.53,-1.64,947.0,6.07,27247,638
"Transporte+ACI (g=0.05), referencia",region,Antofagasta,91.91,0.48,1.91,919.5,6.05,26926,638
"Transporte+ACI (g=0.05), referencia",region,Arica y Parinacota,94.83,0.88,4.83,993.9,6.11,638,638
"Transporte+ACI (g=0.05), referencia",region,Atacama,88.08,0.58,-1.92,756.2,6.11,15755,638
"Transporte+ACI (g=0.05), referencia",region,Biobío,85.2,0.83,-4.8,128.7,6.11,6380,638
